text;sentiment
çok güzel bayıldım;2.0
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk;2.0
hızlı kargo orjinal urunu;2.0
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım;1.0
yorumlarda öne çıkması 5 yıldız verdim çantada kullanım 1 ay olmadan resimde gördüğünüz şekilde lekelenme oluştu i̇ade talebim reddedildi almayı düşünen arkadaşlar düşünsün;1.0
çok çok güzel;3.0
harika;1.0
küçük güzel;0.0
çok beğendim;1.0
çanta orijinal çok şık;2.0
çanta güzel iç kısmında etiket olmadığı orijinal olup olmadığını bilemediğim iade ettim;0.0
üzerinde anlamadım yüzden iade etmeyi düşünüyorum;-2.0
şimdiden soyulmaya başladı alalı 20 gün olmadı yarın Hepsiburada'ydı arayıp görüşücüm;0.0
ürün kaliteli çizik vardı;2.0
saklama torbası yok;-2.0
karton kutuya koyulmadan kargo yapılmış;1.0
alalı 5 ay olmuştur çanta soyulmaya başladı;-3.0
harika tek kelime;1.0
çok teşekkür ederim çok güzel;4.0
ürün orijinal olmayabilir aşırı kalitesiz geldi;0.0
sahte çanta geldi;-2.0
kesi̇nli̇kle orji̇nal deği̇l kesi̇nli̇kle i̇çi̇nde eti̇ket bi̇le yokkkkk;
çok kötü özensiz paket kesinlikle orijinal olamaz;-1.0
çok güzel çok memnunum satıcının boyner olması çok iyi oldu;5.0
çok güzel bayıldım;2.0
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk;2.0
hızlı kargo orjinal urunu;2.0
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım;1.0
